color,name
#ff0000,JGM
#e6acac,AFIP
#d97400,Min Agroindustria
#4c4700,INDEC
#20f200,Min Hacienda
#8fbfaf,Min Modernización
#002233,Otros descentralizados
#7989f2,RENAPER
#281d73,Min Cultura
#e200f2,ARSAT
#d90057,Min Interior
#f20000,Min Seguridad
#806460,Min Justicia
#8c5e00,Min Salud
#e6f23d,Min Desarrollo Social
#283326,Poder Judicial
#79eaf2,SINTYS
#003059,Min Turismo
#0000f2,IGN
#0e0033,ANSES
#912699,Min Producción
#bf6086,Min Ambiente
#731d1d,Min Transporte
#7f4620,Min Defensa
#ffbf40,Min Trabajo
#f2ffbf,Min Educación
#005924,MINCYT
#396773,MINEM
#a3bfd9,Min Finanzas
#0000cc,Presidencia
